Gender,10percentage,12percentage,CollegeTier,Degree,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
1,61.0,59.0,2,1,63.0,1,355,565,495,0.930370607202691,565,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.6568,0.672,1.4724,0.3444,430000
2,67.06,70.67,2,1,55.5,1,440,440,385,0.144789889482462,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
2,67.0,61.0,2,1,75.0,0,370,410,320,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
1,73.0,71.0,2,1,61.0,1,180,365,310,0.0745462652358558,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
1,78.0,75.0,2,1,73.0,0,630,555,570,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
1,66.66,80.4,2,1,64.29,0,525,505,575,0.901489571371033,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
1,85.0,81.0,2,1,76.7,1,455,530,440,0.622642915849938,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
2,83.6,74.0,2,1,71.0,0,615,595,720,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
1,85.0,82.0,2,1,81.0,1,730,525,690,0.694479327708463,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
1,82.5,85.0,2,1,75.0,1,545,485,530,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
1,76.0,61.0,2,2,85.0,0,464,475,575,0.960903087163164,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
1,91.0,83.0,2,1,71.0,0,475,495,565,0.930370607202691,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
1,65.0,47.6,2,2,63.0,0,415,365,475,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
1,70.16,66.8,2,2,69.7,0,275,485,530,0.486747008438193,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
1,74.6,80.8,2,1,72.45,0,535,415,635,0.960603251997053,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
1,66.5,66.4,2,1,66.0,0,500,560,560,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
1,78.4,58.4,2,1,76.5,0,545,535,605,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
1,62.0,62.0,2,2,72.02,0,505,445,575,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
1,52.93,64.0,2,1,73.0,0,325,375,370,0.911395278391328,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
1,78.0,69.0,2,1,75.0,1,355,485,425,0.0587928000083534,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.168999999999999,300000
1,65.0,65.4,1,1,67.72,0,490,615,725,0.744758354008939,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
1,70.2,68.4,1,1,60.4,0,544,415,504,0.0587928000083534,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
1,53.4,66.0,2,1,60.62,0,300,520,330,0.744758354008939,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
1,84.2,78.6,2,1,64.45,0,525,605,595,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
1,81.5,80.2,2,1,82.0,1,430,510,415,0.342314899911815,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
1,63.0,66.0,2,1,65.55,0,435,465,465,0.704090412131314,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32552999999999,-1.2354,450000
2,91.6,86.5,2,1,80.2,1,465,510,570,0.783303536670298,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973,300000
2,71.0,68.0,2,1,81.4,1,345,570,220,0.843123726665742,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692,95000
1,66.0,61.0,2,1,72.04,0,640,500,545,0.953899775079926,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608,335000
1,91.0,90.91,2,1,83.2,0,565,515,575,0.229481754911755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444,450000
2,89.44,75.33,2,1,68.69,0,500,425,385,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973,200000
1,76.0,64.0,2,1,67.0,0,555,450,470,0.486747008438193,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692,310000
1,77.0,75.0,2,1,65.42,1,425,415,375,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234,200000
1,63.0,74.0,2,1,57.0,1,545,500,455,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,240000
1,70.0,60.0,2,1,64.3,0,645,465,575,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-0.4173,-1.8393,-0.344,1.1199,0.1864,330000
1,78.0,87.1,2,1,65.0,1,430,570,615,0.744758354008939,525,-1,438,-1,-1,-1,-1,-1.308,-1.1196,0.4711,0.0192,0.6721,140000
1,89.5,73.4,2,1,70.06,1,700,505,585,0.486747008438193,485,-1,376,-1,-1,-1,-1,0.2718,0.0459,-1.0659,-2.136,-1.244,320000
1,88.67,87.69,1,1,79.65,0,545,645,735,0.879915203272648,-1,-1,-1,-1,-1,-1,-1,-0.7335,1.5444,-0.1437,-2.136,0.6721,700000
1,58.33,73.33,2,1,71.97,0,395,325,585,0.744758354008939,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603,120000
1,64.0,66.0,2,1,69.2,0,465,390,355,0.356536487724475,355,-1,346,-1,-1,-1,-1,-0.0154,-0.2871,0.3174,0.1459,0.0973,200000
1,85.92,79.87,2,1,71.07,1,495,565,454,0.968237495890543,605,-1,-1,-1,-1,-1,-1,0.0464,-0.1232,-0.4891,0.2973,0.9763,315000
1,88.8,84.67,2,1,70.0,1,675,605,620,0.985461394326131,515,500,-1,-1,-1,-1,-1,-0.0154,1.0449,0.4711,1.0333,1.0554,305000
2,81.4,74.0,1,1,76.24,1,485,525,620,0.953899775079926,535,-1,530,-1,-1,-1,-1,0.5591,0.5454,1.7007,-2.0092,1.247,200000
1,76.0,72.0,2,1,63.2,0,510,355,340,0.123016731640823,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776,120000
2,82.3,96.6,2,1,83.0,1,445,565,615,0.694479327708463,-1,366,-1,-1,-1,-1,-1,1.1283,1.1248,-0.344,-0.407769999999999,0.8973,310000
1,78.0,68.0,1,1,72.3,0,510,590,510,0.783303536670298,395,388,-1,-1,-1,-1,-1,0.8463,-0.4536,0.3174,-0.995,0.0973,375000
1,66.7,54.2,2,1,66.93,0,430,470,500,0.299597296248525,-1,260,-1,-1,-1,-1,-1,0.2718,0.3789,0.4711,-0.2344,0.4805,240000
1,72.0,60.0,2,1,63.0,1,440,300,285,-1.0,-1,-1,-1,-1,-1,-1,-1,1.8517,0.8784,1.547,-0.2344,0.4805,295000
1,82.0,62.3,2,1,61.0,0,565,475,464,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278,360000
2,58.56,73.0,2,1,61.8,0,445,465,565,0.376059586651545,375,300,-1,-1,-1,-1,-1,0.3555,0.6568,0.9623,0.6498,0.5024,260000
1,58.0,62.0,2,1,70.68,0,405,395,390,0.486747008438193,495,-1,376,-1,-1,-1,-1,-0.7335,-0.1206,0.7785,0.653,0.0973,180000
1,77.0,78.0,2,1,75.03,0,500,545,665,0.842248322257836,485,-1,469,-1,-1,-1,-1,-1.4517,-0.6201,-1.8344,-0.1076,0.6721,100000
1,75.0,61.7,2,2,79.0,0,365,365,425,0.377551419424541,375,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,310000
1,74.0,66.8,2,1,68.9,0,535,505,510,0.338786347219528,-1,292,-1,-1,-1,-1,-1,-0.5899,-2.2851,-0.7585,0.0192,-2.5853,80000
1,89.4,75.6,2,1,82.53,1,590,610,635,0.840840968763718,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805,475000
1,76.2,88.0,2,1,69.8,0,450,510,620,0.744758354008939,315,-1,438,-1,-1,-1,-1,1.4208,-0.1206,0.4711,-1.3753,1.6302,180000
2,85.33,78.2,2,1,77.25,0,605,404,454,0.824666400671332,-1,400,407,-1,-1,-1,-1,1.0896,1.5928,0.672,-1.05407,0.1864,250000
1,45.6,73.6,2,2,85.2,0,365,385,454,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194,100000
1,86.5,82.5,2,1,61.86,1,490,395,485,0.911395278391328,425,-1,500,-1,-1,-1,-1,-0.0154,-0.6201,-0.2974,0.7798,-1.8189,300000
1,75.83,68.83,2,1,55.6,1,525,575,655,0.901489571371033,545,-1,-1,-1,-1,-1,-1,-2.8903,1.2808,0.8171,-0.8778,0.3444,465000
1,69.4,63.0,2,1,61.0,0,375,465,265,0.0233121682429863,-1,166,-1,-1,-1,260,-1,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,200000
1,64.0,61.0,2,1,63.0,0,455,505,465,0.884122511593735,535,-1,-1,-1,-1,-1,-1,-1.7389,-1.2861,-1.3733,-0.6147,-0.4776,360000
1,85.0,73.8,2,1,77.0,0,505,485,615,0.824666400671332,405,400,-1,-1,-1,-1,-1,-0.5719,-1.0593,-0.1988,1.1199,1.1343,400000
1,80.6,91.0,2,1,73.06,0,485,505,375,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.51,1.7488,0.2366,-1.2303,0.9763,505000
2,78.0,68.0,2,1,68.0,0,365,515,645,0.979521744319216,625,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.5008,0.9623,-0.7603,-0.1295,380000
2,69.0,72.2,2,1,69.78,1,370,500,455,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.5591,0.2124,-0.4511,-1.3753,0.6721,375000
1,89.56,85.0,2,1,67.45,1,485,315,545,0.694479327708463,345,366,-1,-1,-1,-1,-1,-3.0448,-1.0593,-0.6343,0.7673,0.1864,290000
1,83.2,72.3,2,1,68.0,1,545,620,515,0.960903087163164,595,-1,-1,-1,-1,-1,-1,0.4155,1.0449,1.3933,-0.4879,-0.0943,350000
1,51.0,48.0,2,2,59.0,0,275,365,395,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.2009,-0.2793,0.2366,1.4724,0.0284,100000
1,60.7,65.66,2,2,77.7,0,545,535,470,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,1.0449,-0.2974,-0.995,0.4805,230000
1,76.0,75.0,2,1,65.48,0,375,535,575,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.6646,-0.1232,1.5428,0.0623,0.3444,315000
1,91.0,91.2,2,1,86.0,0,675,655,585,0.783303536670298,485,388,-1,-1,-1,-1,-1,0.8463,0.8784,-0.1437,-0.7415,-1.0524,615000
1,90.6,79.3,2,1,65.7,1,430,350,475,0.622642915849938,515,-1,407,-1,-1,-1,-1,1.4208,1.2114,1.2396,-1.1218,1.247,200000
1,81.8,71.8,2,1,64.5,0,415,525,625,0.824666400671332,-1,400,-1,-1,-1,366,-1,-1.8083,-0.2793,-0.6343,0.0623,-0.1295,170000
1,75.85,77.2,2,1,80.0,1,525,530,520,0.979521744319216,625,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.0859,-0.995,1.0554,180000
1,91.6,85.6,1,1,72.7,1,590,575,635,0.649389714846691,525,356,-1,-1,-1,-1,-1,1.1336,0.5454,0.01,-2.0092,0.8637,340000
1,66.0,55.0,2,1,66.0,1,405,585,415,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.0355,0.5008,-0.0537,1.4724,1.4502,145000
1,50.0,57.0,2,1,65.06,0,395,425,425,0.744758354008939,385,-1,438,-1,-1,-1,-1,0.4155,-0.6504,0.3034,0.653,-0.4392,120000
2,89.2,86.25,2,1,76.0,0,465,595,575,0.376059586651545,395,300,-1,-1,-1,313,-1,0.3555,0.9688,0.3817,-1.3478,0.1864,180000
1,93.8,76.0,1,1,72.5,1,615,415,680,0.338786347219528,425,292,-1,-1,-1,393,-1,1.5644,1.5444,1.8543,-0.3612,0.0973,325000
1,90.4,84.6,2,1,83.5,0,430,375,530,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-1.8083,-1.9953,-2.521,1.0747,-2.0253,205000
2,90.8,82.6,2,1,64.66,0,485,535,590,0.911395278391328,535,-1,500,-1,-1,-1,-1,0.99,1.2114,1.2396,-2.643,1.6302,280000
1,82.67,74.92,2,1,61.36,1,580,470,425,0.911395278391328,535,-1,500,-1,-1,-1,-1,1.7081,1.0449,1.547,0.0192,0.6721,215000
1,94.16,95.5,2,1,83.62,1,380,475,575,0.538386892985096,375,333,-1,-1,473,-1,-1,0.8463,1.2114,0.1637,-0.7415,1.0554,200000
1,74.6,81.6,2,1,67.8,0,440,425,415,0.356536487724475,465,-1,346,-1,-1,-1,-1,-0.159,0.2124,-1.0659,-0.4879,0.2889,350000
1,78.0,63.0,2,1,68.1,0,454,535,464,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.0355,0.8128,-1.2148,1.0024,1.6082,520000
1,85.6,79.4,1,1,67.23,0,525,525,565,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-1.9629,-1.9953,-1.6502,0.6498,-1.2354,450000
1,87.7,95.2,2,1,69.96,1,450,555,445,0.744758354008939,455,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.9322,-0.2344,-0.6692,200000
1,88.0,78.0,2,1,87.9,0,545,605,575,0.824666400671332,535,400,-1,-1,-1,-1,-1,-3.0315,-2.1186,-1.0659,0.3995,-1.6273,420000
1,80.8,81.5,2,1,74.0,0,560,455,405,0.23780283983757,505,-1,315,-1,-1,-1,-1,1.9953,1.0449,0.4711,-1.6289,0.8637,100000
1,87.0,79.0,2,1,70.0,0,440,540,535,0.75618011362902,465,-1,-1,-1,-1,388,-1,-2.1698,-4.2831,-1.8344,-0.4879,-5.0763,315000
2,89.8,83.8,2,1,70.0,0,535,455,525,0.843123726665742,515,-1,-1,-1,-1,-1,-1,-0.2628,0.1888,0.3817,-0.2902,1.6082,480000
1,80.0,89.0,2,1,62.0,1,325,530,405,0.356536487724475,275,-1,346,-1,-1,-1,-1,0.99,0.3789,-0.2974,-1.1218,-1.244,145000
1,84.0,83.0,2,1,74.5,1,725,465,555,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-0.4173,0.7348,-0.0537,-0.52527,-0.4455,450000
1,82.0,60.0,2,1,80.0,0,585,525,475,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-0.1082,0.3448,-0.9245,-0.7603,-0.7615,320000
1,70.0,73.8,2,1,70.13,0,825,505,485,0.884122511593735,535,-1,-1,-1,-1,-1,-1,0.51,0.8128,1.2525,0.8848,0.5024,715000
1,59.57,55.0,2,2,88.0,0,395,540,535,0.992259189330951,665,-1,-1,-1,-1,-1,-1,0.4155,-0.4536,-1.8344,-0.8682,-0.0943,145000
1,83.0,81.0,2,1,79.2,0,440,655,705,0.837620725714257,285,-1,-1,-1,500,-1,-1,-1.0208,0.3789,0.6248,-1.6289,-0.2859,180000
1,82.4,81.2,2,1,69.0,0,535,470,585,0.622642915849938,385,-1,407,-1,-1,-1,-1,0.99,1.0449,0.6248,-0.8682,-1.6273,75000
2,79.0,74.6,2,1,71.2,0,525,435,505,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-1.4606,-1.0593,-0.344,1.1492,-2.3412,280000
2,81.2,82.8,2,1,73.0,0,525,625,585,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.51,1.1248,0.5269,-0.7603,0.6603,390000
1,73.5,71.0,2,1,71.0,0,570,545,500,0.829584599793067,-1,-1,-1,469,-1,-1,-1,0.99,0.8784,0.6248,-1.5021,0.6721,325000
1,90.6,94.3,2,1,84.0,0,520,460,620,0.493596387301038,455,324,-1,-1,-1,-1,-1,0.99,0.5454,0.7785,-1.6289,0.6721,300000
2,91.6,90.2,2,1,74.0,0,615,610,680,0.978799292641428,495,-1,561,-1,-1,-1,-1,0.2718,0.8784,-1.6807,1.0333,0.6721,450000
1,86.0,83.8,2,1,77.0,0,555,605,560,0.486747008438193,465,-1,376,-1,-1,-1,-1,0.9737,1.4368,0.5994,-0.2902,0.3444,505000
1,86.0,82.0,2,1,71.0,0,485,505,505,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.0355,-0.1232,0.2366,-0.6428,-0.6035,200000
2,89.0,78.0,2,1,73.14,0,545,485,544,0.884122511593735,535,-1,-1,-1,-1,-1,-1,0.51,0.5008,0.672,-0.43717,0.3444,310000
2,87.4,83.0,1,1,71.0,0,645,485,544,-1.0,355,-1,-1,-1,-1,-1,-1,0.51,0.5008,0.672,0.0623,0.6603,450000
1,78.0,83.0,1,1,72.13,1,444,555,695,0.999904558268382,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284,600000
1,93.33,76.66,1,1,72.0,0,650,570,750,-1.0,515,-1,-1,-1,-1,-1,-1,0.5591,0.3789,-0.1437,-0.2344,0.6721,335000
1,75.0,77.0,2,1,70.45,0,455,595,545,0.112139438207403,425,228,-1,-1,-1,-1,-1,1.2772,1.2114,1.3933,-0.1076,0.8637,150000
1,81.0,73.0,2,1,61.6,0,640,570,495,0.356536487724475,535,-1,346,-1,-1,-1,-1,-0.4463,0.8784,0.4711,-2.136,0.6721,360000
1,64.8,69.4,2,1,73.8,0,465,475,385,0.356536487724475,525,-1,346,-1,-1,-1,-1,0.1282,0.8784,-0.1437,-0.2344,0.2889,240000
1,91.4,81.2,1,1,73.0,0,755,640,740,0.998876108102859,685,-1,653,-1,-1,-1,-1,-0.2632,0.8993,-0.4226,-0.3414,0.1275,150000
2,78.0,79.4,2,1,76.76,0,465,575,625,0.864685413370085,525,-1,-1,-1,-1,-1,-1,1.2828,0.7348,0.0552,-0.0552,-0.9194,455000
1,77.0,69.0,2,1,84.1,0,490,590,655,-1.0,385,-1,-1,-1,-1,-1,-1,0.5591,0.7119,0.4711,-1.6289,0.6721,240000
1,80.0,75.0,2,1,71.56,0,375,495,445,0.376059586651545,-1,300,-1,-1,-1,-1,-1,0.51,0.3448,0.2075,0.9169,0.0284,350000
2,89.0,94.16,2,1,89.2,0,425,515,655,0.930370607202691,565,-1,-1,-1,-1,-1,-1,0.0464,1.3198,-0.4891,-1.11277,-0.2875,385000
1,87.33,82.46,2,1,73.83,0,640,610,650,0.995613796625388,-1,-1,-1,616,-1,-1,-1,1.2828,0.8128,0.0914,-0.8778,0.6603,440000
1,73.94,79.16,2,2,86.0,0,535,460,680,0.974396112538398,615,-1,-1,-1,-1,-1,-1,0.4155,-0.4536,0.9322,-0.995,-0.4776,380000
1,79.8,81.0,2,1,76.03,0,425,535,605,0.694479327708463,-1,366,-1,-1,-1,-1,-1,1.4374,0.1498,-0.598,-1.58287,-0.7615,420000
2,92.0,94.8,2,1,77.33,1,505,525,505,0.960603251997053,-1,466,-1,-1,-1,-1,-1,0.0464,0.9688,-0.1626,1.3549,-0.7615,360000
1,76.0,78.0,2,1,70.6,0,730,570,665,0.661834475840071,-1,-1,-1,-1,446,-1,-1,-0.5899,-0.7866,1.0859,-0.1076,-0.4776,320000
1,78.93,65.0,2,1,67.63,0,535,535,455,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-0.2628,1.5538,0.5994,-0.29027,0.3444,355000
1,83.2,77.33,2,1,75.67,1,655,415,485,0.376059586651545,345,300,-1,-1,-1,-1,-1,-0.4173,0.1888,-0.344,-1.4653,-0.6035,490000
1,52.7,45.6,2,2,69.7,0,345,385,345,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-2.272,-1.5273,-1.0697,0.7673,-0.4455,300000
1,69.5,68.5,2,1,69.9,0,475,500,235,0.413838255788123,385,-1,-1,-1,-1,-1,-1,0.5591,1.0449,1.2396,0.3995,1.0554,2000000
1,85.0,85.6,2,2,80.0,1,630,510,485,0.622642915849938,585,-1,407,-1,-1,-1,-1,1.2772,0.0459,0.3174,-0.995,1.0554,120000
1,88.2,80.8,2,1,70.0,0,735,595,545,0.999910407631314,535,-1,715,-1,-1,-1,-1,1.9953,1.0449,-0.1437,-2.3895,0.2889,325000
1,76.2,63.8,2,1,66.0,0,455,455,465,0.144789889482462,335,-1,284,-1,-1,-1,-1,-1.308,0.3789,-0.9122,0.2727,0.0973,100000
1,67.2,58.6,2,1,66.6,0,630,565,620,0.842248322257836,465,-1,469,-1,-1,-1,-1,-0.159,0.5454,0.3174,0.1459,-0.2859,180000
1,76.0,66.66,2,1,65.0,0,500,400,475,0.125690182237981,375,-1,-1,284,-1,-1,-1,-2.457,-0.7866,0.01,0.2727,-2.2021,250000
1,89.5,78.83,1,1,73.0,0,455,485,605,0.863724177728167,425,-1,-1,-1,-1,-1,-1,-2.7443,0.2124,-1.527,1.1601,-0.2859,300000
1,56.0,63.0,2,1,65.0,0,404,495,405,0.279258511565122,255,-1,-1,-1,-1,292,-1,0.2718,-0.9531,0.4711,-1.1218,-1.0524,220000
2,75.6,77.0,2,1,70.66,0,505,404,524,0.535862819499896,295,-1,-1,393,-1,-1,-1,0.6646,1.7488,0.2366,0.5323,0.6603,275000
1,79.8,75.6,2,1,61.9,0,405,620,620,0.376059586651545,395,300,-1,-1,-1,-1,-1,1.1336,1.0449,0.4711,-0.4879,0.2889,510000
1,84.4,76.0,2,1,63.0,1,430,595,545,0.977066467141653,-1,-1,-1,561,-1,-1,-1,0.8463,0.2124,0.4711,-0.3612,-0.0943,185000
1,72.0,72.0,2,1,70.5,0,440,570,530,0.819416529835888,505,-1,-1,-1,-1,-1,-1,0.0464,0.6178,-0.3803,-1.1128,0.1864,490000
1,85.8,83.0,1,1,91.0,0,555,545,590,0.649389714846691,655,356,-1,-1,-1,-1,-1,-0.159,0.5454,0.4711,-1.1218,-0.6692,300000
1,73.0,77.0,2,1,79.67,0,475,585,515,0.229481754911755,-1,266,-1,-1,-1,-1,-1,0.51,0.8128,-1.0697,-0.4371,0.1864,410000
1,73.0,57.8,2,1,58.0,1,375,435,495,0.276047228046856,345,-1,-1,-1,-1,-1,-1,-0.2628,0.0328,-0.2714,0.2973,-1.0774,225000
1,83.04,72.6,2,2,64.95,0,535,375,375,0.279258511565122,415,-1,-1,-1,-1,292,-1,1.4208,0.8784,-0.2974,0.7798,0.6721,100000
2,83.0,66.0,2,1,78.0,0,305,515,495,0.714529363243447,-1,-1,-1,435,-1,-1,-1,0.9737,0.2668,0.5994,0.6498,-0.9194,330000
1,87.0,81.0,2,1,72.0,0,570,495,525,0.0531603052826837,475,196,-1,-1,-1,-1,-1,0.5591,-0.1206,0.01,-1.6289,-1.6273,300000
1,77.86,64.33,2,2,70.0,0,590,555,590,0.990008756723898,655,-1,-1,-1,-1,-1,-1,-1.4517,-1.1196,0.6248,1.794,-0.0943,525000
1,81.66,58.55,2,1,55.9,1,630,680,560,0.486747008438193,465,-1,376,-1,-1,-1,-1,0.99,0.8784,1.0859,-0.7415,1.0554,230000
1,82.6,76.0,2,1,78.0,1,510,560,485,0.837620725714257,335,-1,-1,-1,500,-1,-1,-1.0208,-0.7866,0.01,1.6672,-1.4356,300000
